商品名,顧客属性,問い合わせ元サイト,大区分NO,大区分名,小区分NO,小区分名,ユーザーの意図(Intent),意図要約(短),対象機能(Target Function),Webサイトのバリア(Barrier),バリア要約(短),Web自己解決可能性,推定発生ページ,発生タイミング,重要キーワード,緊急度,顧客の生の声,商品カテゴリ小カテゴリ
薄型スチール棚セット 3段可変式 幅90cm ブラック〔ストエキオリジナル〕/奥行20cm,不明,不明,6,納期について,1,納期確認（ご注文前）-サイト表示日より早くほしい,注文予定商品の納期を早められるか確認したい,表示納期が遅く早めたい,納期確認,なし,なし,中,商品ページ,注文前,お届け予定;2026年1月16日;欠品中;納期;薄型スチール棚セット;3段可変式;幅90cm;ブラック;奥行20cm;61-555-29-1;ストエキオリジナル,中,お届け予定が「2026年1月16日」になります。欠品中ということでしょうか。納期は早くなりませんか。,スチールラック／収納ラック
不明,事務担当,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,銀行振込分の領収書を発行してほしい,振込支払いの領収書発行依頼,領収書発行,なし,なし,中,ログイン/マイページ,帳票発行時,銀行振込;9/27;支払;領収証;領収書,中,こちらの商品を9/27銀行振込で支払いました。領収証をいただけますでしょうか。,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,出荷状況を確認し、10/3着で届くか確認したい,出荷済みかと到着日確認,出荷状況確認,配送会社の情報が更新されない,運送会社情報が更新されず確認不可,低,注文履歴詳細,注文後,㈱タバタ;10/2出荷;10/3着;16時時点;運送会社の情報;更新されていない;出荷;お届け先,高,16時時点で運送会社の情報が更新されておらず、お問い合わせさせていただきました。;お届け先にも10/3（金）着と伝えてありますので、間違いなく出荷していただきますよう、よろしくお願い致します。,不明
背面ネット 幅120cmタイプ ホワイト ラテラル・ロコ用〔ストエキオリジナル〕,不明,ストエキ（公式サイト）,5,クレーム,3,注文した商品と違うものが届いた,誤納品（高さ違い）の商品を至急交換したい,背面ネット高さ違い交換依頼,交換,なし,なし,低,不明,配送後,61-809-31-2;背面ネット;幅120cmタイプ;ホワイト;ラテラル・ロコ;高さ180cm用;高さ150;交換;至急,高,高さ150が来ているので至急交換して欲しい,ディスプレイネット
不明,事務担当,不明,9,カタログ・DMについて,1,カタログを止めてほしい,カタログ送付停止を依頼したい,カタログ送付停止の依頼,カタログ停止依頼,なし,なし,低,不明,不明,02Y-005695;データコーポレーション;管理部;小木曽研吾;カタログ;送付をとめてください,中,カタログの送付をとめてください。,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,納品書を再発行してほしい,納品書の再発行を依頼,帳票再発行,なし,なし,中,注文履歴詳細,帳票発行時,納品書;紛失;再発行,中,納品書を紛失してしまいまして、再発行していただきたくご連絡いたしました。,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,納品書を再発行してほしい,納品書の再発行を依頼,帳票発行,なし,なし,中,注文履歴詳細,帳票発行時,納品書;紛失;再発行,中,納品書を紛失してしまい、再発行をおねがいできますでしょうか。,不明
不明,不明,不明,4,ご利用について,1,ログインできない,パスワード不明でログインできないため確認したい,パスワード不明でログイン不可,パスワード再設定,パスワード変更時にメールアドレスと電話番号が一致せず再設定できない,メール/電話番号不一致で再設定不可,低,パスワード再設定,不明,ログイン;パスワード;パスワードの変更;メールアドレス;電話番号;間違っている;登録,中,パスワードが不明、パスワードの変更の際にメールアドレスと電話番号を入力しても間違っているとなってしまいますのでご確認お願い致します。,不明
不明,不明,不明,3,注文について,2,入金確認,振込済みの入金確認をしてほしい,振込済みの入金確認依頼,入金確認,なし,なし,低,不明,支払時,振り込み済み;確認,中,振り込み済みですが、メモするのを忘れました。すみません、確認してください。,不明
不明,不明,不明,9,カタログ・DMについて,2,カタログを送付してほしい,会員登録の重複有無を確認しカタログが2冊届く問題を解消したい,会員重複確認とカタログ停止,会員情報確認,なし,なし,低,ログイン/マイページ,不明,有限会社コア;会員登録;重複;カタログ;2冊,中,会員登録が重複していないか確認してほしい。;毎回カタログが2冊きます。,不明
不明,事務担当,ストエキ（公式サイト）,4,ご利用について,6,支払方法の種類について,2件の注文をまとめて振り込みたい,2件分をまとめて振込可否確認,支払,支払い方法・手順の説明不足,複数注文の一括振込可否が不明,中,ご利用ガイド（お支払いについて）,支払時,2件発注;まとめて振り込み;一括振込;WEBオーダー番号;13696950;13696966,中,「こちらの2件分、できましたら、まとめて振り込みをしたいのですが、宜しいでしょうか。」,不明
不明,不明,不明,13,お客様ではない企業からの売込み,1,お客様ではない企業からの売込み,リスティング広告運用代行の提案・商談依頼,広告運用代行の提案依頼,営業提案（売込み）,なし,なし,低,お問い合わせフォーム,不明,株式会社クイックリー;リスティング広告;運用代行;WEB集客;HP制作;LP制作;広告戦略;概要資料;コーポレートサイト;青木七海;06-6770-9895;aoki@quickly.co.jp,低,弊社の担当より貴社にリスティング広告のご提案をさせていただきました。;まずは一度、ご説明させて頂ける機会を頂ければと願っております。,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,インボイス対応の納品書（再発行）と領収書の発行可否を確認したい,インボイス対応帳票の依頼,帳票発行,なし,なし,中,お問い合わせフォーム,帳票発行時,納品書;再発行;領収書;インボイス;支払処理システム変更,中,納品書の再発行は可能でしょうか？;インボイス対応可能な納品書及び領収書が必要となります。,不明
コネクトフック,不明,不明,5,クレーム,2,お届け商品のパーツ不足,不足しているコネクトフックの送付状況を確認したい,コネクトフック不足の確認,不足品対応,なし,なし,低,不明,配送後,本日届きました;コネクトフック;入っていません;別便,中,本日届きましたが、コネクトフックが入っていませんでした。別便になりますか？,その他ネット什器用オプション
